id,expected_decision,language,decision_score,code_details,user_input,tags,difficulty,expected_facts,forbidden_facts,expected_code,possible_code_objects,heuristic_score,result_match
chat_001_what_is_iris_en,chat_response,en,True,,Explain what this dataset represents.,"['chat', 'iris description']",easy,"['dataset contains measurements of petals and sepals', 'three iris species']",[],,,,
chat_002_how_many_classes_en,chat_response,en,True,,How many classes are in this dataset?,"['chat', 'classes']",easy,"['three classes', 'setosa', 'versicolor', 'virginica']",[],,,,
chat_003_best_features_en,chat_response,en,True,,Which features best separate the iris species?,"['chat', 'analysis']",medium,"['petal length', 'petal width']",[],,,,
chat_004_easiest_class_en,chat_response,en,True,,Which iris species is the easiest to separate from the others?,"['chat', 'analysis']",medium,"['setosa', 'shorter petals', 'wider petals']",[],,,,
theory_001_overfitting_en,chat_response,en,True,,What is overfitting in machine learning?,"['theory', 'ml']",easy,"['model fits training data too well', 'poor generalization to new data']",['overfitting improves performance on unseen data'],,,,
theory_002_train_test_split_en,chat_response,en,True,,Why is a train-test split used?,"['theory', 'ml']",easy,"['evaluate model on unseen data', 'prevent data leakage']",['to increase training accuracy'],,,,
theory_003_regularization_en,chat_response,en,True,,What is regularization and why is it used?,"['theory', 'ml']",medium,"['adds penalty to model complexity', 'reduces overfitting']",['regularization increases model variance'],,,,
theory_004_bias_variance_en,chat_response,en,True,,Explain the bias-variance tradeoff.,"['theory', 'ml']",medium,"['bias refers to error from simplifying assumptions', 'variance refers to sensitivity to training data', 'tradeoff between bias and variance']",['bias and variance can both be minimized independently'],,,,
chat_005_feature_count_en,chat_response,en,True,,How many features does this dataset have?,"['chat', 'features']",easy,"['four features', 'sepal length', 'sepal width', 'petal length', 'petal width']","['five features', 'only petal features']",,,,
chat_006_samples_count_en,chat_response,en,True,,How many samples are in this dataset?,"['chat', 'dataset size']",easy,"['150 samples', '50 samples per class']","['100 samples', 'imbalanced classes']",,,,
chat_007_numeric_only_en,chat_response,en,True,,Are all features in this dataset numeric?,"['chat', 'data types']",easy,"['all features are numeric', 'continuous measurements']","['categorical features', 'text features']",,,,
chat_008_need_scaling_en,chat_response,en,True,,Is feature scaling important for this dataset?,"['chat', 'preprocessing']",medium,"['important for distance-based models', 'helps algorithms like kNN or SVM']","['scaling is never useful', 'scaling changes class labels']",,,,
chat_009_linear_separable_en,chat_response,en,True,,Is this dataset linearly separable?,"['chat', 'analysis']",medium,"['setosa is linearly separable', 'other classes overlap']","['all classes are perfectly separable', 'no class is separable']",,,,
chat_011_unsupervised_possible_en,chat_response,en,True,,Can this dataset be used for unsupervised learning?,"['chat', 'unsupervised']",medium,"['can be used for clustering', 'labels can be ignored']",['unsupervised learning requires labels'],,,,
chat_012_pca_purpose_en,chat_response,en,True,,Is PCA applicable to this dataset?,"['chat', 'pca']",medium,"['reduce dimensionality', 'enable visualization', 'capture most variance']",['PCA improves class labels'],,,,
chat_013_outliers_en,chat_response,en,True,,Are outliers a major concern in this dataset?,"['chat', 'data quality']",medium,"['dataset is relatively clean', 'few or no strong outliers']",['dataset is heavily corrupted by outliers'],,,,
chat_014_real_world_limitations_en,chat_response,en,True,,What are the limitations of this dataset?,"['chat', 'limitations']",hard,"['small size', 'not representative of complex real-world data']",['suitable for deep learning at scale'],,,,
theory_006_classification_vs_regression_en,chat_response,en,True,,What is the difference between classification and regression?,"['theory', 'ml basics']",easy,"['classification predicts discrete labels', 'regression predicts continuous values']","['classification predicts numbers only', 'regression predicts categories']",,,,
theory_007_cross_validation_en,chat_response,en,True,,What is cross-validation?,"['theory', 'model evaluation']",medium,"['splits data into multiple folds', 'provides more reliable performance estimates', 'reduces dependence on a single train-test split']",['cross-validation guarantees perfect performance'],,,,
theory_008_feature_engineering_en,chat_response,en,True,,What is feature engineering?,"['theory', 'features']",medium,"['process of creating or transforming features', 'can improve model performance', 'requires domain knowledge']",['feature engineering is only data cleaning'],,,,
theory_009_data_leakage_en,chat_response,en,True,,What is data leakage?,"['theory', 'data issues']",medium,"['information from test data leaks into training', 'leads to overly optimistic evaluation', 'harms generalization']",['data leakage improves real-world performance'],,,,
theory_010_precision_recall_en,chat_response,en,True,,Explain precision and recall.,"['theory', 'metrics']",medium,"['precision measures correctness of positive predictions', 'recall measures coverage of actual positives', 'tradeoff between precision and recall']",['precision and recall are always equal'],,,,
theory_011_accuracy_limitations_en,chat_response,en,True,,Is accuracy a universal metric?,"['theory', 'metrics']",medium,"['problematic with imbalanced datasets', 'does not reflect class-wise performance']",['accuracy is always the best metric'],,,,
