id,decision_score,chat_score,baseline_similarity,code_score,code_details,user_input,tags,difficulty
code_001_describe,True,1.0,1.0,0.25,"{'score': 0.25, 'heuristic_score': 0.5, 'exec_score': 0.0, 'stdout_match': False, 'result_match': False, 'errors': {'expected': None, 'model': ""execution_error: name 'go' is not defined""}, 'stdout': {'expected': '', 'model': ''}, 'results': {'expected':        sepal_length  sepal_width  petal_length  petal_width
count    150.000000   150.000000    150.000000   150.000000
mean       5.843333     3.057333      3.758000     1.199333
std        0.828066     0.435866      1.765298     0.762238
min        4.300000     2.000000      1.000000     0.100000
25%        5.100000     2.800000      1.600000     0.300000
50%        5.800000     3.000000      4.350000     1.300000
75%        6.400000     3.300000      5.100000     1.800000
max        7.900000     4.400000      6.900000     2.500000, 'model': None}}","Напиши код, который выводит статистику по датасету.","['code', 'describe']",easy
code_002_pairplot,True,1.0,1.0,0.35,"{'score': 0.35, 'heuristic_score': 0.7, 'exec_score': 0.0, 'stdout_match': False, 'result_match': False, 'errors': {'expected': ""execution_error: Value of 'color' is not the name of a column in 'data_frame'. Expected one of ['sepal_length', 'sepal_width', 'petal_length', 'petal_width', 'species'] but received: target"", 'model': ""execution_error: module 'plotly.express' has no attribute 'pairplot'""}, 'stdout': {'expected': '', 'model': ''}, 'results': {'expected': None, 'model': None}}",Построй pairplot всех признаков.,"['code', 'plot']",medium
code_003_train_model,True,1.0,1.0,0.383,"{'score': 0.383, 'heuristic_score': 0.767, 'exec_score': 0.0, 'stdout_match': False, 'result_match': False, 'errors': {'expected': 'execution_error: ""[\'target\'] not found in axis""', 'model': ""execution_error: [Errno 2] No such file or directory: 'your_dataset.csv'""}, 'stdout': {'expected': '', 'model': ''}, 'results': {'expected': None, 'model': None}}","Напиши код, который обучает простой классификатор на этих данных.","['code', 'model']",medium
code_001_describe,True,1.0,1.0,0.25,"{'score': 0.25, 'heuristic_score': 0.5, 'exec_score': 0.0, 'stdout_match': False, 'result_match': False, 'errors': {'expected': None, 'model': ""execution_error: name 'go' is not defined""}, 'stdout': {'expected': '', 'model': ''}, 'results': {'expected':        sepal_length  sepal_width  petal_length  petal_width
count    150.000000   150.000000    150.000000   150.000000
mean       5.843333     3.057333      3.758000     1.199333
std        0.828066     0.435866      1.765298     0.762238
min        4.300000     2.000000      1.000000     0.100000
25%        5.100000     2.800000      1.600000     0.300000
50%        5.800000     3.000000      4.350000     1.300000
75%        6.400000     3.300000      5.100000     1.800000
max        7.900000     4.400000      6.900000     2.500000, 'model': None}}","Напиши код, который выводит статистику по датасету.","['code', 'describe']",easy
code_002_pairplot,True,1.0,1.0,0.35,"{'score': 0.35, 'heuristic_score': 0.7, 'exec_score': 0.0, 'stdout_match': False, 'result_match': False, 'errors': {'expected': ""execution_error: Value of 'color' is not the name of a column in 'data_frame'. Expected one of ['sepal_length', 'sepal_width', 'petal_length', 'petal_width', 'species'] but received: target"", 'model': ""execution_error: module 'plotly.express' has no attribute 'pairplot'""}, 'stdout': {'expected': '', 'model': ''}, 'results': {'expected': None, 'model': None}}",Построй pairplot всех признаков.,"['code', 'plot']",medium
code_003_train_model,True,1.0,1.0,0.15,"{'score': 0.15, 'heuristic_score': 0.3, 'exec_score': 0.0, 'stdout_match': False, 'result_match': False, 'errors': {'expected': ""execution_error: Value of 'color' is not the name of a column in 'data_frame'. Expected one of ['sepal_length', 'sepal_width', 'petal_length', 'petal_width', 'species'] but received: target"", 'model': ""execution_error: [Errno 2] No such file or directory: 'your_dataset.csv'""}, 'stdout': {'expected': '', 'model': ''}, 'results': {'expected': None, 'model': None}}","Напиши код, который обучает простой классификатор на этих данных.","['code', 'model']",medium
chat_001_what_is_iris,True,1.0,1.0,1.0,,"Поясни, что представляет собой датасет.","['chat', 'описание ириса']",easy
chat_002_how_many_classes,True,1.0,1.0,1.0,,Сколько классов в этом датасете?,"['chat', 'классы']",easy
chat_003_best_features,False,1.0,1.0,1.0,,Какие признаки лучше всего разделяют виды ирисов?,"['chat', 'анализ']",medium
chat_004_easiest_class,True,1.0,1.0,1.0,,Какой вид ириса лучше всего отделяется от остальных?,"['chat', 'анализ']",medium
theory_001_overfitting,True,1.0,1.0,1.0,,Что такое переобучение в машинном обучении?,"['theory', 'ml']",easy
theory_002_train_test_split,True,1.0,1.0,1.0,,Зачем используется разделение на обучающую и тестовую выборки?,"['theory', 'ml']",easy
theory_003_regularization,True,1.0,1.0,1.0,,Что такое регуляризация и зачем она нужна?,"['theory', 'ml']",medium
theory_004_bias_variance,True,1.0,1.0,1.0,,Объясни компромисс между смещением и разбросом.,"['theory', 'ml']",medium
chat_001_what_is_iris,True,1.0,1.0,1.0,,"Поясни, что представляет собой датасет.","['chat', 'описание ириса']",easy
chat_002_how_many_classes,True,1.0,1.0,1.0,,Сколько классов в этом датасете?,"['chat', 'классы']",easy
chat_003_best_features,False,1.0,1.0,1.0,,Какие признаки лучше всего разделяют виды ирисов?,"['chat', 'анализ']",medium
chat_004_easiest_class,True,1.0,1.0,1.0,,Какой вид ириса лучше всего отделяется от остальных?,"['chat', 'анализ']",medium
theory_001_overfitting,True,1.0,1.0,1.0,,Что такое переобучение в машинном обучении?,"['theory', 'ml']",easy
theory_002_train_test_split,True,1.0,1.0,1.0,,Зачем используется разделение на обучающую и тестовую выборки?,"['theory', 'ml']",easy
theory_003_regularization,True,1.0,1.0,1.0,,Что такое регуляризация и зачем она нужна?,"['theory', 'ml']",medium
theory_004_bias_variance,False,1.0,1.0,1.0,,Объясни компромисс между смещением и разбросом.,"['theory', 'ml']",medium
