id,expected_decision,language,decision_score,semantic_similarity,code_score,user_input,tags,difficulty,expected_facts,forbidden_facts,expected_code,model_plot_path,expected_plot_path,model_plot_error,heuristic_score,exec_score,stdout_match,result_match
code_001_describe,code_generation,en,True,,0.25,Write code that outputs statistics for the dataset.,"['code', 'describe']",easy,,,df.describe(),core/evaluation/reports/plots/code_001_describe_model.png,,,0.5,0.0,False,False
code_002_pairplot,code_generation,en,True,,0.35,Create a pairplot of all features.,"['code', 'plot']",medium,,,"import plotly.express as px
fig = px.scatter_matrix(df, dimensions=df.columns, color=""species"")
fig.show()",,core/evaluation/reports/plots/code_002_pairplot_expected.png,module 'plotly.express' has no attribute 'pairplot',0.7,0.0,False,False
code_003_train_model,code_generation,en,True,,0.383,Write code that trains a simple classifier on this data.,"['code', 'model']",medium,,,"from sklearn.linear_model import LogisticRegression

X = df.drop(columns=[""species""])
y = df[""species""]

model = LogisticRegression(max_iter=200)
model.fit(X, y)",,,,0.767,0.0,False,False
code_001_describe,code_generation,ru,True,,0.25,"Напиши код, который выводит статистику по датасету.","['code', 'describe']",easy,,,df.describe(),core/evaluation/reports/plots/code_001_describe_model.png,,,0.5,0.0,False,False
code_002_pairplot,code_generation,ru,True,,0.35,Построй pairplot всех признаков.,"['code', 'plot']",medium,,,"import plotly.express as px
fig = px.scatter_matrix(df, dimensions=df.columns, color=""species"")
fig.show()",,core/evaluation/reports/plots/code_002_pairplot_expected.png,module 'plotly.express' has no attribute 'pairplot',0.7,0.0,False,False
code_003_train_model,code_generation,ru,True,,0.383,"Напиши код, который обучает простой классификатор на этих данных.","['code', 'model']",medium,,,"from sklearn.linear_model import LogisticRegression

X = df.drop(columns=[""species""])
y = df[""species""]

model = LogisticRegression(max_iter=200)
model.fit(X, y)",,,,0.767,0.0,False,False
chat_001_what_is_iris,chat_response,en,True,0.079,,Explain what this dataset represents.,"['chat', 'iris description']",easy,"['dataset contains measurements of petals and sepals', 'three iris species']",[],,,,,,,,
chat_002_how_many_classes,chat_response,en,True,0.067,,How many classes are in this dataset?,"['chat', 'classes']",easy,"['three classes', 'setosa', 'versicolor', 'virginica']",[],,,,,,,,
chat_003_best_features,chat_response,en,False,0.063,,Which features best separate the iris species?,"['chat', 'analysis']",medium,"['petal length', 'petal width']",[],,core/evaluation/reports/plots/chat_003_best_features_model.png,,,,,,
chat_004_easiest_class,chat_response,en,True,0.016,,Which iris species is the easiest to separate from the others?,"['chat', 'analysis']",medium,"['setosa', 'shorter petals', 'wider petals']",[],,,,,,,,
theory_001_overfitting,chat_response,en,True,0.0,,What is overfitting in machine learning?,"['theory', 'ml']",easy,"['model fits training data too well', 'poor generalization to new data']",['overfitting improves performance on unseen data'],,,,,,,,
theory_002_train_test_split,chat_response,en,True,0.0,,Why is a train-test split used?,"['theory', 'ml']",easy,"['evaluate model on unseen data', 'prevent data leakage']",['to increase training accuracy'],,,,,,,,
theory_003_regularization,chat_response,en,True,0.0,,What is regularization and why is it used?,"['theory', 'ml']",medium,"['adds penalty to model complexity', 'reduces overfitting']",['regularization increases model variance'],,,,,,,,
theory_004_bias_variance,chat_response,en,True,0.034,,Explain the bias-variance tradeoff.,"['theory', 'ml']",medium,"['bias refers to error from simplifying assumptions', 'variance refers to sensitivity to training data', 'tradeoff between bias and variance']",['bias and variance can both be minimized independently'],,,,,,,,
chat_001_what_is_iris,chat_response,ru,True,0.594,,"Поясни, что представляет собой датасет.","['chat', 'описание ириса']",easy,"['датасет содержит измерения лепестков и чашелистиков', 'три вида ириса']",[],,,,,,,,
chat_002_how_many_classes,chat_response,ru,True,0.415,,Сколько классов в этом датасете?,"['chat', 'классы']",easy,"['три класса', 'setosa', 'versicolor', 'virginica']",[],,,,,,,,
chat_003_best_features,chat_response,ru,False,0.052,,Какие признаки лучше всего разделяют виды ирисов?,"['chat', 'анализ']",medium,"['длина лепестка', 'ширина лепестка']",[],,core/evaluation/reports/plots/chat_003_best_features_model.png,,,,,,
chat_004_easiest_class,chat_response,ru,True,0.459,,Какой вид ириса лучше всего отделяется от остальных?,"['chat', 'анализ']",medium,"['setosa', 'короче лепестки', 'шире лепестки']",[],,,,,,,,
theory_001_overfitting,chat_response,ru,True,0.206,,Что такое переобучение в машинном обучении?,"['theory', 'ml']",easy,"['модель слишком хорошо подстраивается под обучающую выборку', 'плохо обобщает на новые данные']",['переобучение улучшает качество на новых данных'],,,,,,,,
theory_002_train_test_split,chat_response,ru,True,0.271,,Зачем используется разделение на обучающую и тестовую выборки?,"['theory', 'ml']",easy,"['оценка качества модели на невидимых данных', 'предотвращение утечки данных']",['для увеличения точности на обучающей выборке'],,,,,,,,
theory_003_regularization,chat_response,ru,True,0.0,,Что такое регуляризация и зачем она нужна?,"['theory', 'ml']",medium,"['добавляет штраф за сложность модели', 'уменьшает переобучение']",['регуляризация увеличивает разброс модели'],,,,,,,,
theory_004_bias_variance,chat_response,ru,True,0.334,,Объясни компромисс между смещением и разбросом.,"['theory', 'ml']",medium,"['смещение связано с упрощающими предположениями модели', 'разброс связан с чувствительностью к обучающим данным', 'существует компромисс между смещением и разбросом']",['смещение и разброс можно минимизировать независимо'],,,,,,,,
