id,expected_decision,language,decision_score,semantic_similarity,code_score,user_input,tags,difficulty,expected_facts,forbidden_facts,expected_code,possible_code_objects,expected_plot_path,model_plot_path,model_plot_error,heuristic_score,result_match
code_001_describe_en,code_generation,en,True,,,Write code that outputs statistics for the dataset.,"['code', 'describe']",easy,,,df.describe(),,,,,1.0,
code_002_pairplot_en,code_generation,en,True,,,Create a pairplot for all features.,"['code', 'plot']",medium,,,"import plotly.express as px
fig = px.scatter_matrix(df, dimensions=df.columns, color=""species"")
fig.show()",,core/evaluation/report_2_remote_llm_gpt-oss-120b/plots/code_002_pairplot_en_expected.png,core/evaluation/report_2_remote_llm_gpt-oss-120b/plots/code_002_pairplot_en_model.png,,1.0,
code_003_train_model_en,code_generation,en,True,,,Write code that trains a simple classifier on this data.,"['code', 'model']",medium,,,"from sklearn.linear_model import LogisticRegression

X = df.drop(columns=[""species""])
y = df[""species""]

model = LogisticRegression(max_iter=200)
model.fit(X, y)","['RandomForestClassifier', 'DecisionTreeClassifier', 'SVC', 'KNeighborsClassifier', 'GaussianNB']",,,,0.852,
code_004_show_all_plots_en,code_generation,en,True,,,Show all plots.,"['code', 'plots']",hard,,,"import plotly.express as px
import plotly.graph_objects as go

# df already exists and represents the iris dataset

# Select numeric columns
num_cols = df.select_dtypes(include=[""number""]).columns.tolist()

# Try to infer target column
candidate_targets = [""species"", ""target"", ""label"", ""class""]
target_col = next((c for c in candidate_targets if c in df.columns), None)

if not num_cols:
    raise ValueError(""No numeric columns found in df to build plots."")

# 1) Histograms for all numeric features
fig_hist = px.histogram(
    df,
    x=num_cols,
    color=target_col if target_col else None,
    barmode=""overlay"",
    title=""Distributions (Histograms)""
)
fig_hist.show()

# 2) Box plots by class (if target exists)
if target_col:
    for col in num_cols:
        fig_box = px.box(
            df,
            x=target_col,
            y=col,
            title=f""Boxplot: {col} by {target_col}""
        )
        fig_box.show()

# 3) Scatter plots for common Iris feature pairs
scatter_pairs = [
    (""sepal_length"", ""sepal_width""),
    (""petal_length"", ""petal_width"")
]

for x, y in scatter_pairs:
    if x in df.columns and y in df.columns:
        fig_scatter = px.scatter(
            df,
            x=x,
            y=y,
            color=target_col if target_col else None,
            title=f""Scatter: {x} vs {y}""
        )
        fig_scatter.show()

# 4) Scatter matrix (pairwise relationships)
fig_matrix = px.scatter_matrix(
    df,
    dimensions=num_cols,
    color=target_col if target_col else None,
    title=""Scatter Matrix""
)
fig_matrix.show()

# 5) Correlation heatmap
corr = df[num_cols].corr(numeric_only=True)

fig_heatmap = px.imshow(
    corr,
    text_auto=True,
    title=""Correlation Heatmap""
)
fig_heatmap.show()
","['df', 'pd', 'np', 'px']",core/evaluation/report_2_remote_llm_gpt-oss-120b/plots/code_004_show_all_plots_en_expected.png,,"
    Invalid element(s) received for the 'color' property of parcoords.line
        Invalid elements include: ['setosa', 'setosa', 'setosa', 'setosa', 'setosa', 'setosa', 'setosa', 'setosa', 'setosa', 'setosa']

    The 'color' property is a color and may be specified as:
      - A hex string (e.g. '#ff0000')
      - An rgb/rgba string (e.g. 'rgb(255,0,0)')
      - An hsl/hsla string (e.g. 'hsl(0,100%,50%)')
      - An hsv/hsva string (e.g. 'hsv(0,100%,100%)')
      - A named CSS color: see https://plotly.com/python/css-colors/ for a list
      - A number that will be interpreted as a color
        according to parcoords.line.colorscale
      - A list or array of any of the above",0.646,
code_005_histogram_en,code_generation,en,True,,,Show a histogram.,"['code', 'plots', 'plotly']",hard,,,"import plotly.express as px

# df already exists and represents the iris dataset

num_cols = df.select_dtypes(include=[""number""]).columns.tolist()

if not num_cols:
    raise ValueError(""В df не найдено числовых колонок для построения histogram."")

# Строим histogram по всем числовым признакам
fig = px.histogram(
    df,
    x=num_cols,
    barmode=""overlay"",
    title=""Histogram""
)

fig.show()
","['df', 'px']",core/evaluation/report_2_remote_llm_gpt-oss-120b/plots/code_005_histogram_en_expected.png,core/evaluation/report_2_remote_llm_gpt-oss-120b/plots/code_005_histogram_en_model.png,,0.733,
code_001_describe,code_generation,ru,True,,,"Напиши код, который выводит статистику по датасету.","['code', 'describe']",easy,,,df.describe(),,,,,1.0,
code_002_pairplot,code_generation,ru,True,,,Построй pairplot всех признаков.,"['code', 'plot']",medium,,,"import plotly.express as px
fig = px.scatter_matrix(df, dimensions=df.columns, color=""species"")
fig.show()",,core/evaluation/report_2_remote_llm_gpt-oss-120b/plots/code_002_pairplot_expected.png,core/evaluation/report_2_remote_llm_gpt-oss-120b/plots/code_002_pairplot_model.png,,1.0,
code_003_train_model,code_generation,ru,True,,,"Напиши код, который обучает простой классификатор на этих данных.","['code', 'model']",medium,,,"from sklearn.linear_model import LogisticRegression

X = df.drop(columns=[""species""])
y = df[""species""]

model = LogisticRegression(max_iter=200)
model.fit(X, y)","['RandomForestClassifier', 'DecisionTreeClassifier', 'SVC', 'KNeighborsClassifier', 'GaussianNB']",,,,0.852,
code_004_show_all_plots,code_generation,ru,True,,,Отобрази все графики.,"['code', 'plots', 'plotly']",hard,,,"import plotly.express as px
import plotly.graph_objects as go

# df already exists and represents the iris dataset

# Select numeric columns
num_cols = df.select_dtypes(include=[""number""]).columns.tolist()

# Try to infer target column
candidate_targets = [""species"", ""target"", ""label"", ""class""]
target_col = next((c for c in candidate_targets if c in df.columns), None)

if not num_cols:
    raise ValueError(""No numeric columns found in df to build plots."")

# 1) Histograms for all numeric features
fig_hist = px.histogram(
    df,
    x=num_cols,
    color=target_col if target_col else None,
    barmode=""overlay"",
    title=""Distributions (Histograms)""
)
fig_hist.show()

# 2) Box plots by class (if target exists)
if target_col:
    for col in num_cols:
        fig_box = px.box(
            df,
            x=target_col,
            y=col,
            title=f""Boxplot: {col} by {target_col}""
        )
        fig_box.show()

# 3) Scatter plots for common Iris feature pairs
scatter_pairs = [
    (""sepal_length"", ""sepal_width""),
    (""petal_length"", ""petal_width"")
]

for x, y in scatter_pairs:
    if x in df.columns and y in df.columns:
        fig_scatter = px.scatter(
            df,
            x=x,
            y=y,
            color=target_col if target_col else None,
            title=f""Scatter: {x} vs {y}""
        )
        fig_scatter.show()

# 4) Scatter matrix (pairwise relationships)
fig_matrix = px.scatter_matrix(
    df,
    dimensions=num_cols,
    color=target_col if target_col else None,
    title=""Scatter Matrix""
)
fig_matrix.show()

# 5) Correlation heatmap
corr = df[num_cols].corr(numeric_only=True)

fig_heatmap = px.imshow(
    corr,
    text_auto=True,
    title=""Correlation Heatmap""
)
fig_heatmap.show()
","['df', 'px', 'go']",core/evaluation/report_2_remote_llm_gpt-oss-120b/plots/code_004_show_all_plots_expected.png,core/evaluation/report_2_remote_llm_gpt-oss-120b/plots/code_004_show_all_plots_model.png,,0.646,
code_005_histogram,code_generation,ru,True,,,Отобрази график Histogram,"['code', 'plots', 'plotly']",hard,,,"import plotly.express as px

# df already exists and represents the iris dataset

num_cols = df.select_dtypes(include=[""number""]).columns.tolist()

if not num_cols:
    raise ValueError(""В df не найдено числовых колонок для построения histogram."")

# Строим histogram по всем числовым признакам
fig = px.histogram(
    df,
    x=num_cols,
    barmode=""overlay"",
    title=""Histogram""
)

fig.show()
","['df', 'px']",core/evaluation/report_2_remote_llm_gpt-oss-120b/plots/code_005_histogram_expected.png,core/evaluation/report_2_remote_llm_gpt-oss-120b/plots/code_005_histogram_model.png,,0.733,
