id,expected_decision,language,decision_score,code_details,user_input,tags,difficulty,expected_facts,forbidden_facts,expected_code,possible_code_objects,expected_plot_path,model_plot_path,model_plot_error,heuristic_score,result_match
code_001_describe_en,code_generation,en,True,"{'heuristic_score': 1.0, 'heuristic_breakdown': {'syntax': {'score': 0.333, 'ok': True}, 'imports': {'score': 0.222, 'expected': [], 'model': [], 'matched': []}, 'calls': {'score': 0.444, 'expected': ['describe'], 'model': ['describe'], 'matched': ['describe']}, 'objects': {'score': 0.0, 'possible': [], 'matched': False}}, 'errors': {'expected': None, 'model': None}, 'results': {'expected':        sepal_length  sepal_width  petal_length  petal_width
count    150.000000   150.000000    150.000000   150.000000
mean       5.843333     3.057333      3.758000     1.199333
std        0.828066     0.435866      1.765298     0.762238
min        4.300000     2.000000      1.000000     0.100000
25%        5.100000     2.800000      1.600000     0.300000
50%        5.800000     3.000000      4.350000     1.300000
75%        6.400000     3.300000      5.100000     1.800000
max        7.900000     4.400000      6.900000     2.500000, 'model':         sepal_length  sepal_width  petal_length  petal_width species
count     150.000000   150.000000    150.000000   150.000000     150
unique           NaN          NaN           NaN          NaN       3
top              NaN          NaN           NaN          NaN  setosa
freq             NaN          NaN           NaN          NaN      50
mean        5.843333     3.057333      3.758000     1.199333     NaN
std         0.828066     0.435866      1.765298     0.762238     NaN
min         4.300000     2.000000      1.000000     0.100000     NaN
25%         5.100000     2.800000      1.600000     0.300000     NaN
50%         5.800000     3.000000      4.350000     1.300000     NaN
75%         6.400000     3.300000      5.100000     1.800000     NaN
max         7.900000     4.400000      6.900000     2.500000     NaN}}",Write code that outputs statistics for the dataset.,"['code', 'describe']",easy,,,df.describe(),,,,,1.0,
code_002_pairplot_en,code_generation,en,True,"{'heuristic_score': 1.0, 'heuristic_breakdown': {'syntax': {'score': 0.333, 'ok': True}, 'imports': {'score': 0.222, 'expected': ['plotly.express'], 'model': ['plotly.express'], 'matched': ['plotly.express']}, 'calls': {'score': 0.444, 'expected': ['scatter_matrix', 'show'], 'model': ['scatter_matrix', 'show'], 'matched': ['scatter_matrix', 'show']}, 'objects': {'score': 0.0, 'possible': [], 'matched': False}}, 'errors': {'expected': 'execution_timeout: sandbox_timeout', 'model': 'execution_timeout: sandbox_timeout'}, 'results': {'expected': None, 'model': None}}",Create a pairplot for all features.,"['code', 'plot']",medium,,,"import plotly.express as px
fig = px.scatter_matrix(df, dimensions=df.columns, color=""species"")
fig.show()",,core/evaluation/report_3_decision_enhancing_qwen3-instruct-30b/plots/code_002_pairplot_en_expected.png,core/evaluation/report_3_decision_enhancing_qwen3-instruct-30b/plots/code_002_pairplot_en_model.png,,1.0,
code_003_train_model_en,code_generation,en,True,"{'heuristic_score': 0.852, 'heuristic_breakdown': {'syntax': {'score': 0.333, 'ok': True}, 'imports': {'score': 0.222, 'expected': ['sklearn.linear_model'], 'model': ['sklearn.linear_model', 'sklearn.metrics', 'sklearn.model_selection'], 'matched': ['sklearn.linear_model']}, 'calls': {'score': 0.296, 'expected': ['LogisticRegression', 'drop', 'fit'], 'model': ['LogisticRegression', 'accuracy_score', 'fit', 'predict', 'train_test_split'], 'matched': ['LogisticRegression', 'fit']}, 'objects': {'score': 0.0, 'possible': ['RandomForestClassifier', 'DecisionTreeClassifier', 'SVC', 'KNeighborsClassifier', 'GaussianNB'], 'matched': False}}, 'errors': {'expected': None, 'model': None}, 'results': {'expected': LogisticRegression(max_iter=200), 'model': 1.0}}",Write code that trains a simple classifier on this data.,"['code', 'model']",medium,,,"from sklearn.linear_model import LogisticRegression

X = df.drop(columns=[""species""])
y = df[""species""]

model = LogisticRegression(max_iter=200)
model.fit(X, y)","['RandomForestClassifier', 'DecisionTreeClassifier', 'SVC', 'KNeighborsClassifier', 'GaussianNB']",,,,0.852,
code_004_missing_check_en,code_generation,en,True,"{'heuristic_score': 1.0, 'heuristic_breakdown': {'syntax': {'score': 0.333, 'ok': True}, 'imports': {'score': 0.222, 'expected': [], 'model': [], 'matched': []}, 'calls': {'score': 0.444, 'expected': ['isnull', 'sum'], 'model': ['isnull', 'sum'], 'matched': ['isnull', 'sum']}, 'objects': {'score': 0.0, 'possible': [], 'matched': False}}, 'errors': {'expected': None, 'model': None}, 'results': {'expected': sepal_length    0
sepal_width     0
petal_length    0
petal_width     0
species         0
dtype: int64, 'model': sepal_length    0
sepal_width     0
petal_length    0
petal_width     0
species         0
dtype: int64}}",Check if there are missing values in the dataset.,"['code', 'missing_values']",easy,,,df.isnull().sum(),,,,,1.0,
code_005_fill_missing_en,code_generation,en,True,"{'heuristic_score': 1.0, 'heuristic_breakdown': {'syntax': {'score': 0.333, 'ok': True}, 'imports': {'score': 0.222, 'expected': [], 'model': [], 'matched': []}, 'calls': {'score': 0.444, 'expected': ['fillna', 'mean'], 'model': ['fillna', 'mean'], 'matched': ['fillna', 'mean']}, 'objects': {'score': 0.0, 'possible': [], 'matched': False}}, 'errors': {'expected': None, 'model': None}, 'results': {'expected': None, 'model': None}}",Fill missing values with the mean value of column.,"['code', 'missing_values', 'preprocessing']",easy,,,"df.fillna(df.mean(numeric_only=True), inplace=True)",,,,,1.0,
code_006_boxplot_en,code_generation,en,True,"{'heuristic_score': 0.852, 'heuristic_breakdown': {'syntax': {'score': 0.333, 'ok': True}, 'imports': {'score': 0.222, 'expected': ['plotly.express'], 'model': ['plotly.express'], 'matched': ['plotly.express']}, 'calls': {'score': 0.296, 'expected': ['box', 'select_dtypes', 'show'], 'model': ['box', 'show'], 'matched': ['box', 'show']}, 'objects': {'score': 0.0, 'possible': [], 'matched': False}}, 'errors': {'expected': 'execution_timeout: sandbox_timeout', 'model': 'execution_timeout: sandbox_timeout'}, 'results': {'expected': None, 'model': None}}",Create boxplots for all numeric features.,"['code', 'visualization', 'boxplot']",medium,,,"import plotly.express as px

fig = px.box(df, y=df.select_dtypes(include=""number"").columns)
fig.show()",,core/evaluation/report_3_decision_enhancing_qwen3-instruct-30b/plots/code_006_boxplot_en_expected.png,core/evaluation/report_3_decision_enhancing_qwen3-instruct-30b/plots/code_006_boxplot_en_model.png,,0.852,
code_007_standardize_en,code_generation,en,True,"{'heuristic_score': 0.852, 'heuristic_breakdown': {'syntax': {'score': 0.333, 'ok': True}, 'imports': {'score': 0.222, 'expected': ['sklearn.preprocessing'], 'model': ['sklearn.preprocessing'], 'matched': ['sklearn.preprocessing']}, 'calls': {'score': 0.296, 'expected': ['StandardScaler', 'drop', 'fit_transform'], 'model': ['StandardScaler', 'fit_transform'], 'matched': ['StandardScaler', 'fit_transform']}, 'objects': {'score': 0.0, 'possible': [], 'matched': False}}, 'errors': {'expected': None, 'model': None}, 'results': {'expected': None, 'model': None}}",Standardize all feature columns.,"['code', 'scaling']",medium,,,"from sklearn.preprocessing import StandardScaler

scaler = StandardScaler()
X_scaled = scaler.fit_transform(df.drop(columns=[""species""]))",,,,,0.852,
code_008_normalize_en,code_generation,en,True,"{'heuristic_score': 0.852, 'heuristic_breakdown': {'syntax': {'score': 0.333, 'ok': True}, 'imports': {'score': 0.222, 'expected': ['sklearn.preprocessing'], 'model': ['sklearn.preprocessing'], 'matched': ['sklearn.preprocessing']}, 'calls': {'score': 0.296, 'expected': ['MinMaxScaler', 'drop', 'fit_transform'], 'model': ['MinMaxScaler', 'fit_transform'], 'matched': ['MinMaxScaler', 'fit_transform']}, 'objects': {'score': 0.0, 'possible': [], 'matched': False}}, 'errors': {'expected': None, 'model': None}, 'results': {'expected': None, 'model': None}}",Normalize the features in range 0 to 1.,"['code', 'scaling']",medium,,,"from sklearn.preprocessing import MinMaxScaler

scaler = MinMaxScaler()
X_normalized = scaler.fit_transform(df.drop(columns=[""species""]))",,,,,0.852,
code_009_pca_en,code_generation,en,True,"{'heuristic_score': 0.852, 'heuristic_breakdown': {'syntax': {'score': 0.333, 'ok': True}, 'imports': {'score': 0.222, 'expected': ['sklearn.decomposition'], 'model': ['sklearn.decomposition', 'sklearn.preprocessing'], 'matched': ['sklearn.decomposition']}, 'calls': {'score': 0.296, 'expected': ['PCA', 'drop', 'fit_transform'], 'model': ['DataFrame', 'PCA', 'StandardScaler', 'fit_transform'], 'matched': ['PCA', 'fit_transform']}, 'objects': {'score': 0.0, 'possible': [], 'matched': False}}, 'errors': {'expected': None, 'model': None}, 'results': {'expected': None, 'model':           PC1       PC2    species
0   -2.264703  0.480027     setosa
1   -2.080961 -0.674134     setosa
2   -2.364229 -0.341908     setosa
3   -2.299384 -0.597395     setosa
4   -2.389842  0.646835     setosa
..        ...       ...        ...
145  1.870503  0.386966  virginica
146  1.564580 -0.896687  virginica
147  1.521170  0.269069  virginica
148  1.372788  1.011254  virginica
149  0.960656 -0.024332  virginica

[150 rows x 3 columns]}}",Reduce dimensionality to two components using PCA.,"['code', 'pca', 'dimensionality_reduction']",medium,,,"from sklearn.decomposition import PCA

pca = PCA(n_components=2)
X_pca = pca.fit_transform(df.drop(columns=[""species""]))",,,,,0.852,
code_010_pca_plot_en,code_generation,en,True,"{'heuristic_score': 0.926, 'heuristic_breakdown': {'syntax': {'score': 0.333, 'ok': True}, 'imports': {'score': 0.222, 'expected': ['plotly.express', 'sklearn.decomposition'], 'model': ['pandas', 'plotly.express', 'sklearn.decomposition'], 'matched': ['plotly.express', 'sklearn.decomposition']}, 'calls': {'score': 0.37, 'expected': ['DataFrame', 'PCA', 'drop', 'fit_transform', 'scatter', 'show'], 'model': ['DataFrame', 'PCA', 'fit_transform', 'scatter', 'show'], 'matched': ['DataFrame', 'PCA', 'fit_transform', 'scatter', 'show']}, 'objects': {'score': 0.0, 'possible': [], 'matched': False}}, 'errors': {'expected': 'execution_timeout: sandbox_timeout', 'model': None}, 'results': {'expected': None, 'model': Figure({
    'data': [{'hovertemplate': 'species=setosa<br>PC1=%{x}<br>PC2=%{y}<extra></extra>',
              'legendgroup': 'setosa',
              'marker': {'color': '#636efa', 'symbol': 'circle'},
              'mode': 'markers',
              'name': 'setosa',
              'orientation': 'v',
              'showlegend': True,
              'type': 'scatter',
              'x': {'bdata': ('TCgv2xZ5BcBwHb3qj7YFwCt/ZBanHA' ... 'A3twbAs49zVz1YBMACnPMXe6AFwA=='),
                    'dtype': 'f8'},
              'xaxis': 'x',
              'y': {'bdata': ('EP0gJgFx1D9gqoDk+afGvwBETuqzjc' ... 'dSLc2/4OGs4oaK4j+ATOo1oJK7Pw=='),
                    'dtype': 'f8'},
              'yaxis': 'y'},
             {'hovertemplate': 'species=versicolor<br>PC1=%{x}<br>PC2=%{y}<extra></extra>',
              'legendgroup': 'versicolor',
              'marker': {'color': '#EF553B', 'symbol': 'circle'},
              'mode': 'markers',
              'name': 'versicolor',
              'orientation': 'v',
              'showlegend': True,
              'type': 'scatter',
              'x': {'bdata': ('EFGrYaWO9D94pcUw8tbtP/SOhkXIbf' ... '/7j+Q/CHkYF80B7b9w9VVt1CLTPw=='),
                    'dtype': 'f8'},
              'xaxis': 'x',
              'y': {'bdata': ('sGilptXs5T8ggGMNlF/UP9DwisXrIu' ... 'n1KZI/cH1It+ox6L/AaxZ3V1TWvw=='),
                    'dtype': 'f8'},
              'yaxis': 'y'},
             {'hovertemplate': 'species=virginica<br>PC1=%{x}<br>PC2=%{y}<extra></extra>',
              'legendgroup': 'virginica',
              'marker': {'color': '#00cc96', 'symbol': 'circle'},
              'mode': 'markers',
              'name': 'virginica',
              'orientation': 'v',
              'showlegend': True,
              'type': 'scatter',
              'x': {'bdata': ('JFEO+eE/BEBEG+lfzqT2P7hux9Xz7g' ... 'PCOvw//MYKwUFq/j+wRhWtNj72Pw=='),
                    'dtype': 'f8'},
              'xaxis': 'x',
              'y': {'bdata': ('ACyJGcUrhL+Qu9T3tmXivwBDAF2CAt' ... 'kYMLQ/AMWbc1TbvT+wqiHnHRfSvw=='),
                    'dtype': 'f8'},
              'yaxis': 'y'}],
    'layout': {'legend': {'title': {'text': 'species'}, 'tracegroupgap': 0},
               'template': '...',
               'title': {'text': 'Scatter Plot of First Two PCA Components Colored by Species'},
               'xaxis': {'anchor': 'y', 'domain': [0.0, 1.0], 'title': {'text': 'PC1'}},
               'yaxis': {'anchor': 'x', 'domain': [0.0, 1.0], 'title': {'text': 'PC2'}}}
})}}",Make scatter plot of first two PCA components colored by species.,"['code', 'pca', 'visualization']",hard,,,"import plotly.express as px
from sklearn.decomposition import PCA

pca = PCA(n_components=2)
X_pca = pca.fit_transform(df.drop(columns=[""species""]))

df_pca = pd.DataFrame(X_pca, columns=[""PC1"", ""PC2""])
df_pca[""species""] = df[""species""]

fig = px.scatter(df_pca, x=""PC1"", y=""PC2"", color=""species"")
fig.show()",,core/evaluation/report_3_decision_enhancing_qwen3-instruct-30b/plots/code_010_pca_plot_en_expected.png,core/evaluation/report_3_decision_enhancing_qwen3-instruct-30b/plots/code_010_pca_plot_en_model.png,,0.926,
