id,expected_decision,language,decision_score,code_details,user_input,tags,difficulty,expected_facts,forbidden_facts,expected_code,possible_code_objects,expected_plot_path,model_plot_path,model_plot_error,heuristic_score,result_match
code_001_describe_en,code_generation,en,True,,Write code that outputs statistics for the dataset.,"['code', 'describe']",easy,,,df.describe(),,,,,,
code_002_pairplot_en,code_generation,en,True,,Create a pairplot for all features.,"['code', 'plot']",medium,,,"import plotly.express as px
fig = px.scatter_matrix(df, dimensions=df.columns, color=""species"")
fig.show()",,core/evaluation/report_4_chat_response_improve_qwen3-instruct-30b/plots/code_002_pairplot_en_expected.png,core/evaluation/report_4_chat_response_improve_qwen3-instruct-30b/plots/code_002_pairplot_en_model.png,,,
code_003_train_model_en,code_generation,en,True,,Write code that trains a simple classifier on this data.,"['code', 'model']",medium,,,"from sklearn.linear_model import LogisticRegression

X = df.drop(columns=[""species""])
y = df[""species""]

model = LogisticRegression(max_iter=200)
model.fit(X, y)","['RandomForestClassifier', 'DecisionTreeClassifier', 'SVC', 'KNeighborsClassifier', 'GaussianNB']",,,,,
code_004_missing_check_en,code_generation,en,True,,Check if there are missing values in the dataset.,"['code', 'missing_values']",easy,,,df.isnull().sum(),,,,,,
code_005_fill_missing_en,code_generation,en,True,,Fill missing values with the mean value of column.,"['code', 'missing_values', 'preprocessing']",easy,,,"df.fillna(df.mean(numeric_only=True), inplace=True)",,,,,,
code_006_boxplot_en,code_generation,en,True,,Create boxplots for all numeric features.,"['code', 'visualization', 'boxplot']",medium,,,"import plotly.express as px

fig = px.box(df, y=df.select_dtypes(include=""number"").columns)
fig.show()",,core/evaluation/report_4_chat_response_improve_qwen3-instruct-30b/plots/code_006_boxplot_en_expected.png,core/evaluation/report_4_chat_response_improve_qwen3-instruct-30b/plots/code_006_boxplot_en_model.png,,,
code_007_standardize_en,code_generation,en,True,,Standardize all feature columns.,"['code', 'scaling']",medium,,,"from sklearn.preprocessing import StandardScaler

scaler = StandardScaler()
X_scaled = scaler.fit_transform(df.drop(columns=[""species""]))",,,,,,
code_008_normalize_en,code_generation,en,True,,Normalize the features in range 0 to 1.,"['code', 'scaling']",medium,,,"from sklearn.preprocessing import MinMaxScaler

scaler = MinMaxScaler()
X_normalized = scaler.fit_transform(df.drop(columns=[""species""]))",,,,,,
code_009_pca_en,code_generation,en,True,,Reduce dimensionality to two components using PCA.,"['code', 'pca', 'dimensionality_reduction']",medium,,,"from sklearn.decomposition import PCA

pca = PCA(n_components=2)
X_pca = pca.fit_transform(df.drop(columns=[""species""]))",,,,,,
code_010_pca_plot_en,code_generation,en,True,,Make scatter plot of first two PCA components colored by species.,"['code', 'pca', 'visualization']",hard,,,"import plotly.express as px
from sklearn.decomposition import PCA

pca = PCA(n_components=2)
X_pca = pca.fit_transform(df.drop(columns=[""species""]))

df_pca = pd.DataFrame(X_pca, columns=[""PC1"", ""PC2""])
df_pca[""species""] = df[""species""]

fig = px.scatter(df_pca, x=""PC1"", y=""PC2"", color=""species"")
fig.show()",,core/evaluation/report_4_chat_response_improve_qwen3-instruct-30b/plots/code_010_pca_plot_en_expected.png,core/evaluation/report_4_chat_response_improve_qwen3-instruct-30b/plots/code_010_pca_plot_en_model.png,,,
